Date,Open,High,Low,Close,Adj Close,Volume
"Jul 26, 2021",3.66,3.67,3.58,3.58,2.99,"1,159,900"
"Jul 23, 2021",3.68,3.73,3.65,3.65,3.05,"984,800"
"Jul 22, 2021",3.62,3.7,3.6,3.69,3.08,"2,396,400"
"Jul 21, 2021",3.71,3.71,3.58,3.6,3.01,"3,827,400"
"Jul 19, 2021",3.61,3.74,3.61,3.69,3.08,"2,395,600"
"Jul 16, 2021",3.6,3.66,3.55,3.6,3.01,"4,523,900"
"Jul 15, 2021",3.71,3.73,3.56,3.56,2.97,"3,962,700"
"Jul 14, 2021",3.8,3.8,3.7,3.74,3.12,"2,066,200"
"Jul 13, 2021",3.81,3.83,3.77,3.8,3.17,"1,281,500"
"Jul 12, 2021",3.86,3.88,3.77,3.8,3.17,"1,415,300"
"Jul 9, 2021",3.82,3.89,3.82,3.84,3.21,"2,131,200"
"Jul 8, 2021",3.94,3.94,3.81,3.85,3.22,"4,161,100"
"Jul 7, 2021",3.94,3.97,3.92,3.94,3.29,"2,739,600"
"Jul 6, 2021",4,4.01,3.94,3.95,3.3,"1,523,300"
"Jul 5, 2021",3.99,4.02,3.91,4,3.34,"1,394,900"
"Jul 2, 2021",4.05,4.05,3.97,3.98,3.33,"1,634,700"
"Jul 1, 2021",3.98,4.1,3.95,4.06,3.39,"3,153,900"
"Jun 30, 2021",4.09,4.12,3.98,3.98,3.33,"4,222,900"
"Jun 29, 2021",4.08,4.15,4.06,4.11,3.43,"1,434,300"
"Jun 28, 2021",4.19,4.19,4.06,4.08,3.41,"1,679,700"
"Jun 25, 2021",4.14,4.19,4.12,4.19,3.5,"978,300"
"Jun 24, 2021",4.16,4.18,4.1,4.14,3.46,"1,965,300"
"Jun 23, 2021",4.14,4.15,4.1,4.14,3.46,"978,800"
"Jun 22, 2021",4.18,4.18,4.12,4.14,3.46,"1,362,100"
"Jun 21, 2021",4.3,4.3,4.15,4.15,3.47,"1,364,700"
"Jun 18, 2021",4.12,4.4,4.07,4.4,3.68,"7,773,600"
"Jun 17, 2021",4.1,4.12,4.05,4.11,3.43,"1,923,200"
"Jun 16, 2021",4.14,4.14,4.05,4.1,3.43,"3,141,800"
"Jun 15, 2021",4.17,4.19,4.11,4.14,3.46,"1,944,600"
"Jun 14, 2021",4.15,4.23,4.11,4.17,3.48,"2,132,200"
"Jun 11, 2021",4.27,4.27,4.11,4.13,3.45,"2,766,100"
"Jun 10, 2021",4.26,4.3,4.23,4.23,3.53,"811,400"
"Jun 9, 2021",4.39,4.39,4.25,4.25,3.55,"2,611,100"
"Jun 8, 2021",4.4,4.43,4.33,4.38,3.66,"2,779,500"
"Jun 4, 2021",4.45,4.45,4.34,4.38,3.66,"2,446,700"
"Jun 3, 2021",4.49,4.55,4.45,4.45,3.72,"1,000,400"
"Jun 2, 2021",4.46,4.54,4.46,4.54,3.79,"962,100"
"Jun 1, 2021",4.5,4.52,4.47,4.5,3.76,"488,700"
"May 31, 2021",4.45,4.59,4.44,4.55,3.8,"1,209,700"
"May 28, 2021",4.48,4.65,4.48,4.54,3.79,"2,140,000"
"May 27, 2021",4.56,4.7,4.44,4.55,3.8,"25,015,300"
"May 25, 2021",4.45,4.59,4.45,4.5,3.76,"2,762,900"
"May 24, 2021",4.43,4.6,4.43,4.51,3.77,"3,158,000"
"May 21, 2021",4.46,4.5,4.41,4.43,3.7,"2,105,600"
"May 20, 2021",4.42,4.52,4.42,4.45,3.72,"2,096,500"
"May 19, 2021",4.45,4.48,4.4,4.41,3.68,"3,280,400"
